Maker QoQ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     
3EV INDUSTRIES PVT LTD,49,2,0,0,0,0,0,19,0,0,0,0,70
3S INDUSTRIES PRIVATE LIMITED,92,92,70,39,89,83,107,114,135,153,124,176,"1,274"
A1 HEAVY EQUIPMENTS DEVELOPER,1,3,3,1,1,1,0,3,1,2,0,1,17
A-1 SUREJA INDUSTRIES,0,0,1,0,1,0,0,0,3,2,1,0,8
AADHYA ENTERPRISES,58,67,28,43,38,25,47,55,58,45,67,40,571
AADITYA GARBAGE PRODUCTS PVT LTD,1,0,2,1,0,0,0,0,0,0,1,0,5
AAHANA COMMERCE PVT LTD,118,124,142,140,242,186,227,334,354,313,339,393,"2,912"
AAKK AUTO PVT LTD,0,0,0,1,2,5,7,11,5,16,7,6,60
AARGEE ELECTRIC,0,0,0,0,0,0,4,0,2,1,3,0,10
AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,12,1,14,27
A.B. AGRO ENGINEERING WORKS,0,0,0,0,1,0,0,0,8,0,1,0,10
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0,0,0,0,0,0,2,0,0,0,0,2
ABZO MOTORS PVT LTD,5,3,6,6,18,6,4,2,5,7,4,2,68
ACCPL INFRA FABTECH PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0,1
ACCRETION POWER AUTOS,52,35,55,45,34,46,59,18,45,48,24,41,502
ACTION CONSTRUCTION EQUIPMENT LTD.,880,"1,087","1,116",847,878,911,888,803,951,813,746,877,"10,797"
A D AGRO WORKS,7,17,11,13,2,4,9,14,11,9,1,7,105
ADAPT MOTORS PVT LTD,1,0,0,1,0,0,0,0,0,0,0,0,2
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,396,236,100,62,90,120,113,121,161,83,309,602,"2,393"
ADIDEV TECHNOA PVT LTD,86,94,152,108,116,160,199,168,215,125,160,104,"1,687"
ADISHAKTI TRACTORS,0,0,0,1,0,0,0,0,0,0,1,0,2
ADISHWAR AUTO RIDE INDIA PVT LTD,24,30,19,24,14,19,23,19,18,23,23,10,246
ADITYA AGRO INDUSTRIES,4,6,13,1,2,0,6,2,2,10,12,3,61
ADITYA SAI INDUSTRIES,36,21,13,20,26,6,29,13,12,12,8,8,204
ADM TECHNOLOGIES PVT. LTD.,16,13,18,13,29,14,48,41,26,23,22,42,305
ADRIS ELECTRIC PVT LTD,1,2,3,1,0,0,1,0,0,0,0,0,8
AERODRIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,0,12,12
AEROEAGLE AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,3,22,12,37
AFKON AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,7,16,25,47,70,165
AFTEK MOTORS INDIA PVT LTD,0,1,12,5,7,6,1,3,1,0,3,0,39
"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,1,0,0,0,0,1,1,0,3
AGP ENGINEERING PRODUCTS,0,0,0,0,0,0,1,0,0,0,0,0,1
AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,0,2,0,0,0,0,2,0,4
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,15,8,13,9,7,4,11,6,17,14,8,15,127
AGRO INDUSTRIES,12,9,12,5,9,4,9,18,13,13,13,8,125
AGRO TRAILERS AP312870751,0,0,0,0,1,0,0,0,0,0,0,0,1
AHMED MOTORS,0,7,4,0,0,2,1,0,0,0,1,2,17
AJANTA KRUSHI YANTRA,2,3,0,22,2,0,17,0,2,13,2,13,76
AJAX ENGINEERING LTD,372,395,449,517,438,340,353,287,285,371,332,375,"4,514"
AJAX FIORI ENGINEERING PVT LTD,1,0,0,0,0,0,1,0,0,1,0,0,3
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,1,0,0,0,0,0,0,0,0,1,1,6,9
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,0,0,0,2,0,0,2
AJAY ENTERPRISES,1,0,1,2,0,1,1,3,0,0,0,0,9
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,0,0,0,0,0,0,0,1,1,4,6
AJAY MOTORS PRIVATE LIMITED,15,10,5,11,24,22,22,13,16,26,17,14,195
A.J ENTERPRISES,9,17,3,7,9,9,12,15,27,24,21,13,166
AJIT ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0,0,0,1
AKAL AGRO INDUSTRY,4,5,5,5,3,3,4,1,5,5,0,0,40
AKASH TRAILOR,1,3,0,0,4,5,2,5,0,6,1,0,27
AKG INTERNATIONAL,113,114,109,153,166,171,229,176,145,148,188,125,"1,837"
A K GUPTA & CO.,50,46,67,32,60,36,59,63,53,63,44,112,685
AKMAAN MULTI MECH MACHINES,0,0,0,0,0,0,0,0,2,0,0,0,2
A K S ENG AGRO INDUSTRIES,2,1,1,0,1,2,2,4,2,1,3,1,20
ALBEDO VISION PVT LTD,0,0,0,0,2,2,0,2,0,0,0,0,6
ALIED E MOBILITY PVT LTD,0,0,0,0,0,0,1,9,15,12,7,27,71
ALLENTTI MOTORS PVT LTD,9,16,15,16,21,26,27,19,35,26,35,20,265
ALLFINE INDUSTRIES PVT LTD,882,867,873,788,852,825,"1,126","1,064",794,711,273,235,"9,290"
ALL TERRAIN CRANE,114,65,87,109,93,96,92,78,83,74,45,200,"1,136"
ALPHA SERVICES,1,1,2,0,0,3,1,1,1,0,1,0,11
ALTIER ELECTRIC VEHICLES PVT LTD,239,260,286,294,222,203,273,226,249,242,228,204,"2,926"
ALTIGREEN PROPULSION LABS PVT LTD,145,151,460,16,13,92,63,34,38,49,17,12,"1,090"
ALTIUS EV TECH PVT LTD,2,2,3,2,0,2,3,0,2,1,1,1,19
ALTIUS TECHNOLOGIES,2,0,1,0,0,2,2,0,0,0,3,1,11
ALVI AUTO,0,0,0,0,0,0,0,0,0,0,2,12,14
AMAC INNOVATIVES,0,0,0,0,0,0,0,2,0,0,0,0,2
AMAN AGRO INDUSTRIES,9,2,1,3,2,0,1,2,3,4,1,0,28
AMAN AUTOMOBILES,6,7,2,6,18,9,7,9,6,0,3,1,74
AMAN ELECTRIC VEHICLES,68,46,29,53,45,38,45,67,46,31,36,28,532
AMAN ENTERPRISES BHPATNA,0,0,0,0,0,0,0,0,0,2,14,6,22
AMAR ENGG. WORKS,2,2,0,0,0,0,0,1,0,1,0,1,7
AMARJEET HARVESTER INDUSTRY,3,3,4,4,3,1,3,7,2,1,0,2,33
AMBIKA ENTERPRISES,6,10,6,1,7,5,17,24,11,11,7,12,117
AMBIKA INDUSTRIES,191,139,133,103,146,147,178,164,160,164,153,202,"1,880"
AMIR KHAN SAIFI STEEL WORKS,0,0,0,0,0,0,4,1,3,2,6,5,21
AMMANN APOLLO INDIA PVT LTD,21,22,31,18,20,16,12,8,14,28,8,21,219
AMO MOBILITY SOLUTIONS PVT LTD,17,13,16,4,12,5,18,6,11,5,3,12,122
AMPERE VEHICLES PRIVATE LIMITED,178,122,139,164,103,99,44,105,45,25,20,45,"1,089"
AMRIT AGRO INDUSTRIES,1,0,1,0,0,0,0,0,0,0,0,0,2
"AMRIT ENGG WORKS,DKL",7,1,5,12,5,4,3,1,0,0,0,0,38
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,0,0,0,0,1,4,2,4,4,2,17
AMW MOTORS LIMITED,0,0,0,0,0,0,0,2,0,0,0,0,2
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,3,2,2,8,5,1,1,6,4,1,0,1,34
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0,1,0,1,0,0,0,0,1,0,4
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,2,0,0,3,0,3,0,0,0,0,0,8
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),13,12,5,7,2,0,0,3,0,0,0,0,42
ANGAD AGRO INDUSTRIES,4,0,0,0,0,0,0,0,0,0,0,0,4
ANJALI AUTO COMPONENTS,1,11,3,2,2,0,2,19,7,5,6,2,60
ANJALI TRADERS,10,5,7,10,5,9,5,8,15,4,9,20,107
ANNAPURNA INDUSTRIES,4,7,8,3,3,2,12,7,9,9,14,6,84
ANOOP CYLINDERS PVT LTD,1,0,3,0,1,3,0,0,0,0,1,0,9
"ANUP ENTERPRISES,SNG",0,0,0,0,0,4,0,0,0,0,0,0,4
ANVITA AUTO TECH WORKS PVT LTD,0,1,1,0,1,1,1,0,0,0,0,0,5
APARNA INDUSTRIES,15,6,4,0,3,2,0,0,5,1,1,0,37
A P I MOTORS PVT LTD,63,47,65,54,48,49,50,43,39,54,43,44,599
APM AUTO SALES,56,54,38,30,51,71,78,70,73,42,57,55,675
APOLLO CARMIX EQUIPMENTS PVT LTD,20,10,16,6,9,9,10,6,10,5,7,7,115
APSARA ENTERPRISE,67,77,58,58,90,84,231,184,209,198,126,169,"1,551"
APTEC EQUIPMENT PRIVATE LIMITED,1,1,0,1,3,1,1,0,0,2,0,0,10
A R AGRO TECH,2,6,2,0,1,0,0,0,0,0,0,0,11
ARCHIT ENTERPRISES,130,98,102,78,104,100,148,150,118,97,93,115,"1,333"
ARD EXIM,7,9,0,5,6,1,0,7,0,2,2,2,41
ARIHANT ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,1,1
ARMIX CONSTRUCTION MACHINERY PVT LTD,1,1,0,3,1,1,0,0,1,0,0,1,9
A.R. MOTOR,0,0,0,10,36,27,84,51,81,57,63,53,462
ARNA ELECTRIC AUTO PVT LTD,22,22,21,2,1,1,6,3,5,2,0,1,86
ARROW AUTOMOTIVE,240,231,182,292,322,338,295,310,389,294,338,202,"3,433"
ARYAN INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,2,3
ASAV AUTOMOTIVE PVT LTD,0,0,0,0,1,0,0,0,0,3,0,3,7
ASHA IMPEX,17,12,7,16,28,22,24,17,38,24,25,21,251
ASHA METAL INDUSTRIES,0,0,1,0,0,0,1,0,0,0,0,0,2
ASHLESHA POWER CONTROLS PVT LTD,0,0,0,0,0,1,1,0,0,1,0,0,3
ASHMA-MOTORS PVT LTD,93,90,101,89,127,129,163,165,134,119,91,88,"1,389"
ASHNNI MOTORS PVT LTD,0,0,0,0,0,0,0,0,1,4,0,0,5
"ASHOK FABRIC & ENGG,RAIRAKHOL",0,1,2,0,1,0,0,0,0,0,0,0,4
ASHOK LEYLAND DEFENCE SYSTEMS LTD,1,0,50,3,0,0,0,0,0,0,0,0,54
ASHOK LEYLAND LTD,"14,806","15,620","15,452","16,665","13,764","11,492","14,015","12,136","12,690","15,985","12,921","11,722","1,67,268"
ASHWA ELECTRIC,0,1,0,0,0,0,0,0,0,0,0,0,1
ASIA BODY BUILDERS & MANUFACTURERS,0,2,0,0,0,0,0,1,0,0,0,0,3
ASSAM FABRICATION WORKS,9,14,19,5,3,4,0,6,4,10,2,7,83
ASSAM SAII MOTORS P LTD,1,0,0,0,0,0,0,0,0,0,0,0,1
ASTON MARTIN LAGONDA LTD,0,0,2,2,1,1,4,1,2,0,0,2,15
ATHER ENERGY LTD,"9,383","9,097","17,430","4,144","6,155","6,217","10,218","11,046","12,925","16,248","12,963","10,534","1,26,360"
ATTOLENT AUTO GROUP PVT LTD,53,72,66,58,59,38,56,53,67,43,32,34,631
ATUL AUTO LTD,"2,077","1,969","2,183","1,764","2,450","2,025","2,376","2,102","2,182","3,212","2,509","2,232","27,081"
ATUL GREENTECH PRIVATE LIMITED,24,41,79,44,24,36,59,53,75,85,115,130,765
ATUMOBILE PVT LTD,4,3,2,3,8,2,3,3,1,2,1,2,34
ATUT SANGAM,273,234,187,222,176,222,246,196,198,199,174,163,"2,490"
AUDI AG,70,61,46,49,43,48,47,23,41,25,25,23,501
AUM ENGINEERING AND WORKS,3,2,0,1,0,0,0,5,0,0,0,6,17
AUTO CART LOGISTIC EQUIPMENT PVT LTD,0,0,0,0,0,0,5,4,0,0,0,0,9
AUTOECO GREEN ENERGY PVT LTD,66,82,105,53,85,51,78,74,94,60,56,51,855
AUTOEXIM HOUSE LLP,0,0,0,0,0,0,0,0,6,12,10,4,32
AUTOHAUS PRIVATE LIMITED,0,0,0,2,0,0,0,0,1,0,0,0,3
AUTOLITE (INDIA) LIMITED,0,0,0,0,1,0,0,0,0,0,0,0,1
AUTOMOBILI LAMBORGHINI S.P.A,7,3,5,11,7,8,12,8,8,11,7,9,96
AUTOMOTIVE MANUFACTURERS PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,1,0,1
A.V.AUTOMOTIVES PVT LTD,121,87,65,64,149,96,84,110,87,69,201,379,"1,512"
AVL ELECTRIC VEHICLES PVT LTD,244,243,280,241,302,277,334,329,340,308,258,306,"3,462"
AVON CYCLES LTD,51,36,106,63,68,37,60,47,37,43,42,50,640
AVTAR ENGINEERING WORKS,0,0,0,4,5,3,1,0,3,1,0,2,19
AWACHAT INDUSTRIES LTD,99,72,136,140,96,101,83,63,88,241,190,164,"1,473"
AYAAN ELECTRONIC PVT LTD,10,5,3,1,3,3,0,2,2,0,0,1,30
B24 ROKET EV,63,59,110,113,108,104,99,100,115,80,107,150,"1,208"
BABA E-VEHICLES,79,63,57,52,117,79,62,71,47,56,49,53,785
BABA HARI DAS FABRICATION,1,2,0,0,0,0,0,0,0,0,0,0,3
BABAJI ENGINEERING TRAILOR WORKS,2,5,5,3,0,1,3,0,1,1,0,2,23
BABA PRODUCT,20,14,18,11,7,2,2,0,3,1,5,6,89
BADSHAH ENTERPRISES,0,0,0,0,0,0,0,0,0,8,4,11,23
BAGHWAN RIKSHAW UDYOG,6,2,3,6,2,1,5,1,7,3,5,6,47
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,1,0,0,2,0,0,0,0,0,3,0,6
BAJAJ AUTO LTD,"2,14,599","2,07,046","2,18,256","2,26,287","2,11,094","1,88,161","2,00,698","1,87,355","1,79,458","2,79,055","3,44,340","1,68,531","26,24,880"
BAJAJ IMPLEMENTS PVT. LTD,69,44,106,59,88,87,109,58,76,61,56,56,869
BALAJEE ENGINEERING,4,0,2,0,0,0,0,0,0,0,0,0,6
BALAJI AGRO INDUSTRIES,12,4,1,9,1,7,3,8,5,9,3,10,72
BALAJI ENGINEERING,2,0,0,0,0,0,0,0,0,2,0,0,4
BALAJI TRADING COMPANY,6,4,2,0,3,4,2,4,25,24,19,32,125
BALAN ENGINEERING PVT LTD,2,27,13,51,17,1,1,2,1,0,2,10,127
BAL GOPAL WHEELS PVT LTD,37,4,16,11,8,8,14,9,6,7,7,5,132
BALI AUTO INDUSTRIES,40,15,24,16,16,11,35,18,28,18,25,19,265
BALJEET ENGG. WORKS,0,0,0,0,0,0,1,0,0,0,0,0,1
BANKU BODY BUILDER,1,4,1,3,3,0,0,2,1,0,0,0,15
BANSAL AGRICULTURE IMPLEMENTS,0,0,1,0,0,0,0,0,0,0,0,0,1
"BASUDEB ENGINEERING, CUTTACK",0,0,3,0,2,3,2,0,0,1,1,5,17
BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,0,0,0,0,0,0,0,0,0,0,1,3,4
BATTRE ELECTRIC MOBLITY PVT LTD,287,222,634,88,189,229,171,263,221,365,256,177,"3,102"
"BAUTI ENGINEERING,NAYAGARH",1,1,0,0,0,0,0,0,0,0,0,0,2
BAUTI ENGINEERING NAYAGARH ITAMATI,0,0,0,0,0,0,0,0,0,0,1,0,1
BAXY LTD,324,293,339,309,342,337,396,428,434,716,559,407,"4,884"
BEENA DEVI & SONS INDUSTRIES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0,1
BEML LIMITED,1,1,0,2,4,0,0,0,0,2,2,4,16
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,68,64,84,67,57,26,31,27,27,24,27,23,525
BENTINCK INDUSTRIES PVT. LTD.,27,21,26,16,14,14,19,11,30,19,18,17,232
BENTLEY MOTORS LIMITED,5,2,13,5,5,8,5,4,6,1,3,7,64
BEST WAY AGENCIES PVT LTD,530,490,546,382,499,433,607,538,529,536,481,505,"6,076"
BESTWAY BANARASH,2,2,4,0,0,0,2,0,0,0,0,1,11
BGAUSS AUTO PRIVATE LIMITED,"1,487","1,350","3,114",713,"1,160","1,062","1,793","1,111","1,237","2,023","1,881","1,102","18,033"
BHADAURIA ENTERPRISES,13,12,20,6,9,6,14,11,10,1,4,3,109
BHAGAT AGRO INDUSTRIES,0,0,0,2,0,0,0,0,0,0,0,0,2
BHAGWAN AGRO INDUSTRIES,4,2,1,1,3,3,1,3,4,6,4,3,35
BHAGYALAXMI TRAILER,0,2,0,0,0,0,0,1,0,0,0,0,3
BHARATH AGRO PRODUCTS,0,4,0,1,0,0,0,0,0,0,0,0,5
BHARATH ENGINEERING WORKS,0,1,1,0,0,0,0,1,0,2,0,0,5
BHAVE ELECTRIC VEHICLES PVT LTD,204,194,270,142,212,171,207,201,251,238,165,194,"2,449"
BHM INDUSTRIES,211,156,191,179,195,223,206,207,209,251,217,285,"2,530"
BHOGAL COMBINE SPARE PARTS,0,0,1,1,11,1,0,4,0,5,10,8,41
BHOYAR AGRO IND WARDHA,2,0,19,19,3,0,2,0,1,5,3,8,62
BIDISHA ENTERPRISES PVT LTD,1,1,0,3,1,1,0,1,0,0,1,0,9
BIG BULL TRADER PVT LTD,108,111,164,163,88,144,213,399,415,357,380,490,"3,032"
BIJNOR ENTERPRISES,4,2,2,2,1,7,6,3,2,1,2,0,32
BISWAS ENGINEERING WORKS,2,0,0,0,0,0,0,0,0,0,1,0,3
BLIX CYCLES AND E-VEHICLES PVT LTD,0,2,1,1,0,0,0,0,0,2,0,0,6
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,30,34,42,45,37,16,29,34,27,0,7,301
BMW INDIA PVT LTD,"1,999","1,609","1,693","1,918","1,604","1,590","1,698","1,546","1,647","2,420","1,713","1,846","21,283"
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,36,28,59,28,41,56,73,77,62,214,94,83,851
BOSS ENTERPRISES,0,0,0,0,0,0,0,0,6,13,14,10,43
BOUNCE ELECTRIC 1 PVT LTD,286,317,560,79,94,102,667,791,"1,205","1,006",858,"1,007","6,972"
BRB MEXICO S.A DE C.V,0,0,0,0,0,0,0,0,0,0,1,0,1
BRIGHT AUTOZONE PVT LTD,338,225,220,186,260,294,301,279,236,227,241,199,"3,006"
BRIGHT METAL WORKS,0,0,0,0,0,1,0,0,0,0,0,0,1
BRIGHT SAFAR,0,0,0,0,0,0,0,2,8,14,2,0,26
BSA MOTORS,3,0,2,0,3,0,2,0,2,0,0,0,12
BSERAIL ENGINEERING PVT LTD,0,1,9,5,1,10,15,11,9,7,6,11,85
BSMS AGRICULTURE WORKSHOP,0,8,4,2,0,2,2,4,4,1,1,0,28
BU4 AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1,1
BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),0,0,0,0,0,0,0,1,0,0,0,0,1
BULL MACHINES PVT LTD,93,133,113,81,107,81,80,91,106,144,151,173,"1,353"
BYD AUTO,0,1,0,0,0,0,1,0,0,0,0,0,2
BYD INDIA PRIVATE LIMITED,163,179,188,157,182,245,356,228,177,399,367,308,"2,949"
CAPCO INDUSTRIES PVT LTD,8,17,0,6,0,0,0,0,3,0,5,1,40
CAPITAL AUTO INDUSTRIES,227,165,168,123,126,163,198,166,161,176,93,0,"1,766"
CAPTAIN TRACTORS PVT. LTD.,921,498,177,100,93,85,97,327,334,145,468,"1,210","4,455"
CARGOTEC INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0,1
CARREE YUNUS VEHICLE PVT LTD,7,2,4,0,5,1,3,8,9,13,3,7,62
CART INDIA,116,85,76,31,11,1,37,31,9,13,18,12,440
CASE EQUIPMENT PRIVATE LTD,0,0,0,0,0,0,1,1,0,0,0,0,2
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,180,172,188,161,147,121,115,96,129,173,191,167,"1,840"
CATERPILLAR INDIA PRIVATE LIMITED,160,206,185,231,153,174,166,127,177,194,148,164,"2,085"
CAUSIS E-MOBILITY PVT LTD,0,0,0,0,0,1,7,0,0,0,0,0,8
CEEON INDIA,80,60,60,44,49,56,37,55,30,33,45,41,590
CELLETRON MOTOR WORKS,0,11,16,33,16,9,8,6,19,19,18,17,172
CG & BROTHER CO,0,0,0,0,0,0,0,0,0,0,5,5,10
CHAANY AGRO INDUSTRIES,0,0,0,0,2,2,0,0,0,0,0,1,5
CHAMPION POLY PLAST,993,910,928,783,993,935,"1,016",984,"1,001","1,005",902,750,"11,200"
CHANDAKE-AUTOMOBILES LLP,0,1,4,3,5,27,16,14,10,22,22,21,145
CHANDANA CORPORATION,20,14,16,18,20,8,8,9,8,9,19,15,164
CHANNY AGRO INDUSTRIES,2,1,4,1,0,0,1,2,1,2,0,0,14
CHAUHAN AUTO INDUSTRIES,61,65,34,61,72,56,26,26,48,47,62,45,603
CHEHAK BATTERIES,32,14,24,36,41,21,17,36,46,41,27,51,386
CHETAK TECHNOLOGY LIMITED,1,1,2,0,0,0,0,0,0,0,0,0,4
CHEVROLET SALES INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0,1
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),28,17,28,13,9,16,36,39,35,48,39,28,336
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),6,0,0,2,2,0,0,0,2,5,5,1,23
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,0,0,0,0,0,1,0,0,0,0,0,0,1
CITADEL ENTERPRISES(OPC) PVT LTD,6,2,0,0,0,0,0,0,3,0,1,0,12
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,57,52,41,33,26,33,58,138,56,26,14,18,552
CIVIMEC ENGINEERING PVT LTD,0,1,0,0,0,0,0,1,2,0,1,1,6
CLAAS INDIA P LTD,3,14,9,0,5,2,6,25,24,9,1,2,100
CLASSIC (INDIA) MOTORS,0,1,0,0,0,0,0,0,0,0,0,0,1
CLASSIC LEGENDS PVT LTD,"2,888","2,622","2,547","2,837","2,506","2,097","2,206","2,122","2,177","4,326","4,275","2,403","33,006"
CLENERGY INNOVATIONS PVT LTD,0,0,0,0,0,0,0,2,0,0,2,0,4
C M OVERSEAS,0,3,2,1,6,2,2,2,3,2,3,2,28
CNH INDUSTRIAL (INDIA) PVT LTD,"3,517","3,034","3,372","2,426","2,917","2,876","3,029","2,562","2,534","2,605","3,117","4,064","36,053"
COMETTO TRAILER,0,0,0,0,0,1,0,4,9,3,2,9,28
CONMAT HEAVY INDUSTRIES PVT LTD,14,22,18,23,15,22,23,14,10,18,8,15,202
CONTINENTAL ENGINES PVT LTD,189,157,119,47,54,28,26,37,22,37,20,24,760
CONVENIENT MACHINES PVT LTD,0,0,0,0,0,0,1,1,0,0,4,3,9
COVAI GREEN RIDE,0,0,0,0,0,0,0,0,1,0,0,3,4
CRANE KRAFT INDIA PRIVATE LIMITED,18,27,23,19,24,19,19,18,15,15,17,24,238
CREATIVE ENGINEERINGS,0,0,0,0,1,0,0,0,0,0,0,0,1
CUBE AUTO INDUSTRIES,0,0,0,0,0,1,1,0,0,0,0,0,2
CUBE AUTO INDUSTRIES BNGLORE,0,0,0,0,0,0,0,1,0,0,0,0,1
CYRUS AUTO INDUSTRIES PVT LTD,3,5,0,11,6,9,3,4,4,2,0,0,47
DABASIYA LOADERS,1,0,0,0,2,0,1,0,1,0,0,1,6
DAIMLER AG,0,2,2,2,2,5,4,2,2,0,0,1,22
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,"2,160","1,845","1,922","2,006","1,845","1,520","1,590","1,502","1,545","1,924","1,616","1,600","21,075"
DAKSH INDUSTRIES,593,579,593,441,616,597,634,706,636,625,514,607,"7,141"
DALIAN FORKLIFT CO.,0,0,0,0,0,0,0,0,0,1,0,0,1
DAO EVTECH PRIVATE LIMITED,15,12,21,12,6,4,2,3,3,0,0,2,80
DASHMESH MECH WORKS PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0,1
DASHMESH TRADERS,17,12,7,13,9,8,14,12,12,19,17,9,149
DASMESH AGRICULTURAL INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0,1
DASMESH AGRICULTURE WORKS,3,0,3,5,4,0,0,1,1,3,1,4,25
DASMESH AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,1
DASMESH MECHANICAL WORKS PVT.LTD,18,60,66,41,26,21,21,18,49,65,48,35,468
DAVE EXIM PVT LTD,12,3,26,17,15,10,33,28,18,23,10,32,227
DEBU AUTOMOBILES,0,0,0,0,0,0,1,4,0,0,1,3,9
DEEP DRAWN TECHNOLOGIES,3,1,4,2,1,1,2,2,1,3,2,8,30
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,0,0,0,0,0,0,1,1,1,2,0,0,5
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",1,8,1,1,1,3,1,1,2,0,1,0,20
DE EUSI MOTORS PVT LTD.,112,138,119,121,193,177,172,173,171,155,204,243,"1,978"
DELTA AUTOCORP LTD,229,181,209,148,157,156,158,157,137,110,101,131,"1,874"
DELTEK ENTERPRISES PVT LTD,1,0,4,4,2,8,2,2,4,0,0,4,31
DEMAG DEMAG HC 340,0,0,2,0,0,0,0,0,0,0,0,0,2
DEV AGRO INDUSTRIES,1,0,3,0,1,1,0,2,0,0,0,0,8
DEVAM ELECTRIC VEHICLES PVT LTD,19,11,17,6,15,5,10,15,16,11,9,15,149
DEVANGI ENG..,36,19,16,23,20,25,1,5,10,13,18,15,201
DEVCHHAYA MOTORS,0,0,0,0,0,0,0,0,2,0,1,1,4
DEV ENGINEERING WORKS,2,0,1,0,0,0,5,0,13,13,7,7,48
DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,0,0,0,0,0,0,0,0,0,1,0,0,1
DEVI ENGINEERING WORKS,0,0,1,1,0,0,1,2,1,0,0,0,6
DEV MOTORS,0,0,8,14,44,64,146,144,171,189,183,132,"1,095"
DEWAN AGRICULTURE WORKS,1,10,6,5,0,0,3,7,2,1,3,2,40
DHANALAKSHMI ENGINEERING WORKS,0,0,1,4,4,0,3,0,1,0,2,1,16
DHANALAXMI ENGINEERING PURI CHARINALA,0,0,0,0,0,0,1,0,0,1,1,1,4
DHANAVENKAT ENGG.WORKS,0,0,0,0,0,0,0,0,0,1,0,0,1
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,0,0,0,0,0,0,0,0,0,4,1,1,6
DHANLAXMI FABRICATORS,1,0,0,0,0,0,0,1,0,1,0,0,3
DHANNLAXMI AUTOWORKS,0,0,1,0,0,0,0,0,0,0,0,0,1
DHAR IN PVT LTD,2,1,5,2,2,7,7,9,19,18,12,17,101
DHAR INTERNATIONAL,5,0,0,1,1,6,1,4,3,4,0,4,29
DHARMPAL ENTERPRISES,0,0,0,0,0,0,0,0,2,1,0,0,3
DHIMAN AGRICULTURE,1,4,3,2,0,2,0,3,3,2,1,1,22
DHIMAN AGRICULTURE WORKS,0,0,0,0,1,4,0,1,2,0,0,1,9
DHIMAN AGRO INDUSTRIES,1,0,0,0,0,0,0,0,1,0,0,0,2
DHIMAN BROTHERS,0,0,0,0,0,0,0,0,1,0,0,1,2
DHRITI ENTERPRISES,0,7,9,9,11,21,22,23,9,3,5,5,124
"DIAMOND ENGG,CTC",2,7,2,3,4,2,2,8,1,3,0,2,36
DIAMOND ENGINEERING CUTTACK BHANPUR,0,0,0,0,0,0,0,0,1,0,0,0,1
