Maker YoY,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,     TOTAL     
MINI METRO EV L.L.P,"2,553","4,126","2,831","1,310",565,"1,756","2,265","2,514",601,125,"7,261"
MINSK TRACTOR (IMPORTER: ERISHA AGRITECH),1,0,0,0,1,0,0,1,8,2,11
MISTRY AGRICULTURE CENTRE,0,1,3,0,0,0,0,0,2,5,7
MITHILA ENGG WORKS,5,22,6,8,4,0,0,0,0,1,1
MITHU BAJRANG ENG.WORKS,13,15,17,26,22,10,6,34,9,3,62
MITSUBISHI MOTORS CORPORATION,190,174,469,317,139,20,38,98,226,656,"1,038"
M K BROTHERS,20,14,22,27,20,8,16,20,4,2,50
M K ENTERPRISES,0,3,1,5,11,0,2,37,173,213,425
M.K. ENTERPRISES,0,0,3,1,1,194,211,539,408,132,"1,484"
MK POWER AND E MOBILITY,11,10,12,31,13,0,0,0,0,2,2
MLR AUTO LTD,46,41,0,0,0,318,304,64,2,0,688
MLR MOTORS PVT LTD,7,11,22,19,46,13,9,160,631,209,"1,022"
M M ENGINEERING WORKS,277,189,29,0,0,0,0,0,2,1,3
M M PUMPS AND SPARES,3,12,10,10,20,0,1,1,0,0,2
M M TRAILERS,39,79,87,190,125,0,0,7,0,1,8
MODEL FIN.AND COMMUNICAT,0,0,33,10,0,53,27,17,4,1,102
MODERN  AGRO  INDUSTRIES,0,0,4,18,20,3,6,6,3,1,19
MODERN ENGINEERING CORPORATION,1,1,1,5,33,0,0,0,7,14,21
MODERN INDUSTRIES,4,0,0,0,0,8,56,144,127,133,468
MODERN WELDINGS WORKS,0,0,2,0,0,4,29,55,38,36,162
MOGAL ENGINEERING WORKS,16,22,36,36,22,0,0,0,0,9,9
MOGAL WELDING WORKS,66,45,22,0,0,0,0,0,26,19,45
MOHABIR INDUSTRIES,0,0,1,3,1,1,0,0,0,2,3
MOHAMMED RURAL ENG WORKS,91,99,72,31,19,0,0,0,1,2,3
MOHAN GENERAL ENGINEERING WORK,2,15,3,0,0,0,0,0,1,3,4
MOHAN GENERAL TRADING COMPANY,0,0,0,2,0,77,56,18,0,0,151
MOHIT ENTERPRISES,20,51,54,55,23,0,0,0,2,0,2
MOHIT INDUSTRIES,0,0,2,1,1,0,0,1,0,0,1
MOMAI AGRO INDUSTRIES,441,"1,015",912,451,134,0,0,0,0,8,8
MOMI ENGINEERING WORKS,9,1,0,0,4,0,3,1,6,4,14
MONAWWAR FABRICATORS,48,66,49,16,0,0,0,1,116,258,375
MONDAL ENGINEERING WORKS,0,0,0,0,1,0,0,0,18,59,77
MONDAL TRADING,2,28,31,60,28,61,2,0,0,0,63
MONTO MOTORS LTD.,0,1,1,1,1,0,1,3,4,2,10
MONU ENGINEERING,41,10,0,0,0,1,0,6,5,21,33
MOODY INTERNATIONAL PVT LTD,145,155,40,0,0,0,1,0,1,1,3
MOPEDS INDIA LTD              ,563,924,789,420,282,0,0,0,0,2,2
MOR AND COMPANY,3,0,0,0,0,0,0,0,0,1,1
MORDEN AGRO IND.BANSWADA,0,4,14,18,35,0,0,0,0,27,27
MORGAN MOTOR COMPANY (IMPORTER: REGALIA LUXURY),1,0,0,0,0,0,0,0,0,2,2
MORRIS MOTORS LTD,0,1,1,1,3,2,2,4,1,1,10
MOSAM TRAILOR,1,0,0,0,0,0,0,0,0,1,1
MOTO GUZZI,84,99,109,48,60,0,0,0,1,0,1
MOTOR CYCLE,308,360,278,146,74,0,0,0,1,0,1
MOTOR & GENERAL SALES LTD.,304,508,617,213,0,0,0,0,4,1,5
MOTOR & GENERAL SALES PVT LTD,44,37,28,0,0,1,34,102,5,0,142
MOTOROYALE KINETIC PRIVATE LIMITED,0,0,0,0,3,51,21,4,3,2,81
MOTRAC MOTORS PVT LTD,0,0,0,0,1,100,132,128,0,0,360
MOUNESHWAR ENGINEERING WORKS,10,4,0,0,0,0,0,2,3,6,11
MOURYA INDUSTRIES,0,0,0,1,2,0,0,0,0,1,1
M R ENGINEERING WORKS,0,3,6,9,31,0,0,37,19,36,92
MRUGYA AGRO INDUSTRIES,0,0,0,0,1,0,0,0,0,1,1
M S AGRO INDUSTRIES,11,20,20,32,27,36,31,226,2,0,295
M.S. AGRO INDUSTRIES,0,1,3,6,8,12,14,38,52,33,149
"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",196,"1,568",0,0,0,0,0,1,0,0,1
M/S AMARNATH ENGINEERING WORKS,0,0,0,1,0,0,1,0,0,0,1
M/S ASHOKA INDUSTRIES,0,0,1,0,0,1,0,2,1,2,6
M/S BHARAT TRAILERS,617,275,431,853,514,29,0,1,2,1,33
M/S CHAMPION POLY PLAST,94,251,110,5,10,2,1,77,388,"3,091","3,559"
M/S DASHMESH TRADERS,78,120,120,91,0,13,6,4,0,0,23
M/S. DAVE EXIM (P) LTD.,166,173,0,0,0,0,1,0,28,0,29
"M.S.ENG.WORKS, NIMAPADA",4,0,0,0,0,3,1,0,11,7,22
"M/S FARMAX EQUIPMENTS, SAMBALPUR",50,74,695,450,0,1,0,1,0,1,3
MS GANGA STEEL INDUSTRIES,3,1,0,3,22,0,0,13,31,34,78
M.S.G. INDUSTRIES,170,301,163,110,257,0,0,3,2,2,7
"M/S. GURUMAN ENTERPRISES, BHAWANIPATNA",0,1,0,0,3,3,26,6,0,0,35
M/S HOVEL CYLINDER PVT LTD,7,32,15,27,69,2,0,46,431,84,563
M S INDUSTRIAL ASSOCIATION,35,0,0,0,0,0,0,0,2,8,10
M/S IRA INDUSTRIES,0,22,0,0,0,0,1,2,0,0,3
 M/S KAILASH ENGINEERING WORKS JUNAGARH ,0,1,0,0,0,0,0,0,1,0,1
M/S KANTAK SYSTEMS,24,89,205,269,183,0,1,3,0,0,4
M/S KASTKAR AGRO INDUSTRIES,0,0,0,0,1,26,18,3,0,0,47
M/S K K AGRO INDUSTRIES,173,155,0,0,0,37,42,39,0,3,121
M/S LAKSHMI ENGINEERING WORKS,520,355,0,0,0,4,1,0,0,3,8
M/S LOHIYA AGRO INDUSTRIES,9,23,12,20,27,47,19,13,0,1,80
M.S.LTD.,144,220,197,69,23,0,0,0,0,1,1
M/S MAA MANGALA INDUSTRIES,1,0,0,0,0,98,44,0,0,0,142
M/S NANDI ENGINEERING WORKS,39,29,37,94,45,0,0,0,1,1,2
M/S NATIONAL STEEL AND WIRE PRODUCTS SAMBALPUR,0,0,0,3,4,0,1,0,0,0,1
M/S NEW SHETKARI ENGINEERING WORK,8,1,0,0,0,41,0,0,0,0,41
M/S NEW SHIV SHAKTI TRAILORS,7,8,0,0,0,103,67,27,0,0,197
M/S. PALLAVI INDUSTRIES,3,0,0,0,0,7,3,5,1,1,17
M/S POWER TECH TECHNOLOGY,44,25,4,81,66,1,0,0,0,0,1
M/S PRADHAN AGRO ENGINEERING,38,0,0,0,0,2,0,0,0,0,2
M/S RAM AGRO MACHINARY,0,0,0,15,388,33,0,0,0,0,33
M/S SAI KRISHNA INDUSTRIES,2,22,14,10,20,1,0,0,0,0,1
M/S. SANJUKTA AGRO MART,38,26,0,0,0,14,2,0,0,0,16
M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,0,0,1,2,0,436,507,204,32,1,"1,180"
M/S SHRI DATTA WELDING WORKS,9,0,0,0,0,1,0,1,0,0,2
M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,2,0,700,"1,649","2,292","2,250",635,"7,526"
M/S SHUBHADA ENTERPRISE,0,8,23,1,0,2,1,2,0,0,5
M/S SICHUAN HONGHUA PETROLEUM EQUIPMENT CO.LTD,3,0,0,0,0,0,0,1,0,0,1
"M/S.SOURAV ENTERPRISES,BHAWANIPATNA",0,0,0,1,0,6,11,9,0,0,26
"M/S. S. R. ENTERPRISES,JAIPATNA",0,1,0,0,0,20,5,23,5,0,53
M/S SRI DURGA BHAVANI ENGG WORKS AP213154001,2,0,0,0,0,0,1,0,0,1,2
M/S SRI DURGA VENKATESWARA ENGG WORKS AP193673337,1,0,0,0,0,0,0,0,1,0,1
M/S SRI GANAPATHI ENGINEERING WORKS AP313253058,0,6,0,1,0,0,1,0,0,0,1
M/S SRI LAKSHMI NARYANA ENGINEERING WORKS,1,0,0,0,0,1,0,0,0,0,1
M/S SRISHTI AUTOMOBILES,2,0,0,0,0,1,1,5,3,0,10
M/S SRI VENKATA RAMA ENGG WORKSHOP AP67331352,0,0,0,0,3,1,0,0,0,0,1
M/S SRI VENKATA RAMANA AGRO INDUSTRIES AP178354373,0,2,1,0,0,0,0,0,0,1,1
M/S S.S. AGRO INDUSTRIES,0,0,0,2,3,5,4,5,0,2,16
"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",2,0,0,0,0,105,124,116,1,0,346
M/S SUPERIOR MANUFACTURING COMPANY,0,0,0,1,5,10,0,0,0,0,10
M/S UNITY MOTOR BODY,2,0,0,0,0,1,0,0,1,1,3
"M/S. VENKAT ENGINEERING WORKS, JAIPATNA",13,0,0,0,0,2,1,0,0,0,3
M/S VENKATESWARA ENGINEERING WORKS AP56463007,8,0,0,0,0,0,0,1,0,0,1
M/S YOGIRAJ ENGINEERING COMPANY,1,2,0,0,0,4,25,6,0,0,35
M. T. W. LTD.,76,138,308,182,18,0,0,0,25,80,105
MUBHARAK GENERAL ENGG WORKS,0,0,0,2,7,0,0,1,5,5,11
MULCHAND MOHANDAS PATEL,0,0,0,0,8,0,0,0,0,6,6
MULGUND BROTHERS AGRO IND,7,0,0,0,0,0,0,0,2,5,7
MULLAI INDUSTRIES,1,0,0,0,0,0,0,1,1,1,3
MULTI AGENCY,36,1,0,0,0,0,0,0,1,0,1
MULTI DIMENSIONAL SOLUTIONS,4,0,0,0,0,7,18,5,0,0,30
MUNDE MECHANICAL WORKS,2,23,64,74,40,13,12,3,25,4,57
MUNNA TRAILERS,0,0,0,1,14,0,0,35,42,88,165
MURAGEPPA AGRO INDUSTRIES,0,0,0,1,2,0,0,0,2,1,3
MURLIDHAR AGRO ENGINEERING,9,2,0,0,0,0,0,0,1,2,3
MUSTAFA TRAILERS,0,0,0,0,34,0,0,1,2,3,6
MUTHUR AGRO ENGINEERING WORKS,5,0,0,0,0,0,0,0,3,3,6
MV AGUSTA INDIA PVT LTD,206,31,0,0,0,6,13,9,8,0,36
MV AGUSTA MOTOR S.P.A,0,0,0,1,0,0,0,8,8,0,16
M V TRAILER,73,31,0,0,0,0,0,1,6,5,12
MYLARALINGESHWARA ENGG WORKS,0,0,0,0,10,0,0,5,13,6,24
MYSORE AGRO INDUSTRIES,6,0,0,0,0,0,0,0,1,0,1
MYSORE MOTORS,3,8,9,13,44,0,0,0,0,1,1
MYTRAH MOBILITY PVT LTD,0,2,4,7,16,1,0,0,0,0,1
N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,0,1,100,232,291,0,0,623
NAAZ AUTO ENGG WORKS,0,0,0,0,4,15,15,100,43,48,221
NABHA AGRO WORKS,0,0,0,0,1,0,0,0,0,1,1
NABHKIRAN AGRO IND.,"3,200","5,732","4,089","1,572",647,0,0,0,2,4,6
NABH MOTORS PVT LTD,58,27,5,4,19,6,49,88,80,31,254
NABINA WELDING,0,0,1,0,0,11,15,43,51,80,200
NAEIM ENGINRING OWRKS,0,1,0,0,0,0,0,8,246,166,420
NAGAPPA AUTO,0,0,0,2,5,0,0,1,0,0,1
NAGDEV AGRICULTURAL,0,0,6,6,6,0,0,0,4,4,8
NAGESH ENTERPRIES,4,58,68,43,38,0,6,0,2,3,11
NAGORI ENGINEERING WORKS,0,0,0,0,1,0,0,0,1,2,3
NAIK ENGINEERING WORKS,2,0,0,1,4,0,0,2,11,9,22
"NAIK TROLLEY AND IMPL,SNG",0,0,0,9,0,24,55,90,87,14,270
"NAIK TROLLEY&IMPLS,BHEDABAHAL",13,31,19,14,28,16,11,24,45,104,200
NAMAH INDUSTRIES PVT LTD,0,0,0,0,42,38,91,6,0,0,135
NAMAKKAL TRAILERS,21,58,78,86,45,0,0,0,5,849,854
NAMMA MOTORS PVT LTD,4,9,10,8,45,0,0,2,0,0,2
NANDEESHWAR INDUSTRIES,525,808,645,264,214,0,0,16,33,11,60
NAND ELECTRIC MOTOR VEHICLE PVT LTD,1,2,5,2,17,0,30,15,6,2,53
NANDI AGRO TRAILER,20,35,70,99,34,0,0,0,0,1,1
NANDI ENGINEERING INDUSTRY,0,0,0,0,3,0,0,2,4,7,13
NANDI ENGINEERING WORKS,0,1,2,7,4,0,0,0,5,1,6
NANDINI ENGINEERING WORKS,618,"1,868","2,728","2,102","1,349",0,1,23,44,33,101
NANDI TRAILERS,0,9,14,75,29,0,0,23,33,33,89
NANJING SUNNY,0,3,19,9,15,0,0,0,0,1,1
NANJUNDESHWARA ENGG WORKS,0,1,3,4,1,0,0,0,0,1,1
NANNHRAY AGIRCULTURE WORKS,0,0,0,0,1,0,0,6,31,4,41
NANYA AIRCONN PVT LTD,0,14,5,24,30,0,1,7,17,0,25
NARAINDASS AND SONS,0,68,106,65,41,1,15,49,0,0,65
NARAIN KRISHI ENGINEERING,0,0,10,14,38,0,0,0,2,3,5
NARAYAN ENGINEERING WORKS,0,0,0,0,1,0,0,0,0,15,15
NARAYAN INDUSTRIES,1,90,104,99,138,0,0,1,2,2,5
NARESH ENGINEERING WORKS,23,26,23,54,52,0,0,0,15,28,43
NARINDERA AGRO WORKS,0,0,0,8,3,9,5,10,11,7,42
NARMADA CHEMTECH DAHOD,5,12,4,12,13,0,0,0,0,22,22
NARMADA INDUSTRIES,0,71,169,31,44,0,7,4,7,19,37
NASEER WELDING  CENTRE,10,10,17,16,46,0,0,24,31,53,108
NASWAR DEAL COMM P LTD,0,0,1,9,7,0,0,183,329,147,659
NATARAJ ENGINEERING WORKS,7,70,70,59,90,0,0,0,0,3,3
NATH AGRO IMPLEMENTS PVT LTD,74,114,55,52,66,5,22,11,14,8,60
NATIONAL AGRO.,13,23,24,34,43,0,0,110,185,224,519
NATIONAL ENGG WORKS,2,19,6,17,14,2,82,295,112,141,632
NATIONAL INDUSTRIES,1,20,41,39,15,0,0,5,16,23,44
NATIONAL IRON WORKS,1,12,5,7,36,0,0,0,1,11,12
NATRAJ ENGINEERING,0,0,0,0,1,0,0,1,1,2,4
NAVABHARAT ENGINEERING WORKS,2,3,7,32,36,0,0,7,7,10,24
NAVDURGA AGRO,16,33,22,14,44,0,0,0,44,35,79
NAVDURGA ENGI,79,151,135,116,112,0,0,0,0,1,1
NAVDURGA MECHINICAL WORK,0,0,0,1,10,0,0,0,6,21,27
NAVDURGA TRAILERS,6,16,6,0,0,0,0,0,1,0,1
NAVEEN AGRO,5,0,0,0,0,0,0,7,13,22,42
NAVITA MOTOR GUARAGE,0,0,1,1,14,0,0,0,9,12,21
NAV JIVAN TRAILOR,1,1,0,0,0,0,0,0,5,4,9
NAWANDAR AGRO INDUSTRY,3,0,0,0,0,0,0,0,0,21,21
NAYAK ASSOCIATES,27,0,0,0,0,0,0,4,15,54,73
NAYANA TRAILERS,11,15,2,8,7,0,0,6,16,34,56
NAZAR SINGH AND SONS,0,1,0,0,5,0,0,0,4,5,9
NAZAR SINGH & SONS,0,0,0,2,1,13,6,1,0,3,23
NB TURNED  COMPONENTS PVT LTD,0,0,6,38,57,0,13,30,31,0,74
NDS ECO MOTORS PVT LTD,0,5,0,3,0,146,648,48,0,0,842
NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,2,64,68,57,100,148,268,580,533,62,"1,591"
NEELAM AGRO EQUIP,45,13,0,0,0,0,0,3,0,0,3
NEELESH STEEL FABRICATORS,0,0,1,1,0,0,0,0,0,1,1
NEELKANTH AGRO IND,"2,585","1,419",66,0,0,0,0,0,4,3,7
NEELKANTH ENGINEERING WORKS,104,134,136,38,46,0,0,0,30,57,87
NEERAJ AGRICULTURE,649,648,359,0,0,0,0,73,73,104,250
NEERAJ AGRO INDUSTRIES,0,0,5,8,8,0,22,4,1,22,49
NEHA AGRICULTURE,12,0,0,0,0,0,0,60,103,94,257
NELESH STEEL FABRICATORS,136,154,27,5,24,0,0,0,0,3,3
NENSI AGRO IND,0,0,0,0,7,0,0,0,0,22,22
NETRAVATI AGRI EQUIPEMENTS,5,0,0,0,0,0,0,0,0,1,1
NEW ANAND ENGINEERING WORKS,0,2,5,0,1,0,0,0,0,1,1
NEW ARCANA INDIA,2,14,24,98,47,316,732,361,226,128,"1,763"
NEW BAJAJ INDUSTRIES,28,46,12,4,0,0,0,0,0,1,1
NEW BHARAT AGRI INDUSTRIES,0,1,0,0,0,0,0,0,4,1,5
NEW BHARAT TRAILER,0,0,0,1,1,0,0,1,17,8,26
NEW BIHAR ENG WORK SHOP,0,0,0,2,0,0,0,0,0,3,3
NEW BOMBAY TRAILER WORKS,16,87,1,2,96,0,0,30,37,35,102
NEW DASHMESH ENGG. WORKS,1,3,7,834,523,0,0,0,2,2,4
NEW DEVE AGRO WORKS,"63,419","79,282","90,778","81,093","39,335",14,18,1,0,0,33
NEW DEWAN AGRO TECH,0,0,2,5,0,0,0,0,1,0,1
NEW DNYANRAJ TRAILORS,"5,961","10,968","10,087","6,332","2,243",0,0,0,0,14,14
NEW DURGA ENGINEERING,0,0,0,7,40,123,289,352,31,24,819
NEW FRIENDS INDUSTRIES,101,0,0,0,0,7,0,1,3,10,21
NEW GAHIR AGRO INDUSTRIES,3,15,40,90,520,33,30,2,0,0,65
NEW GOLDEN AGRICULTURE,93,216,1,0,0,36,84,123,39,9,291
NEW GURDIAL AGRO INDUSTRIES,8,8,15,0,0,7,0,20,27,47,101
NEW GURDIAL AGRO INDUSTRIES PVT LTD,3,4,0,0,0,31,74,40,2,0,147
NEW HAJEE HATELI ENGG.WORKS,32,67,47,48,37,0,0,1,2,8,11
NEW HIND AGRO PVT LTD,0,0,2,0,0,28,31,21,7,6,93
NEW HIND AGRO PVT. LTD,181,42,0,0,0,0,0,0,14,18,32
NEW HIRA FARM EQUIPMENT PVT LTD,30,0,0,0,0,2,1,0,1,2,6
NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,1,0,4,0,0,24,44,64,207,411,750
NEW HOLLAND FIAT INDIA PVT. LTD.,"8,823","11,933","10,551","8,812","5,725","2,627","3,127","3,109","3,011","2,757","14,631"
NEW INDIA TRAILER,0,1,0,0,0,0,0,0,11,25,36
NEW JANTA QUALITY TRAILOR,0,0,0,283,611,0,5,9,26,29,69
NEW JOTHI ENGINEERING WORKS,80,0,0,0,0,0,0,1,0,0,1
NEW KALLESHWARA INDUSTRIES,1,1,0,0,0,0,0,3,3,13,19
NEW KARNATAKA TRAILERS,252,539,187,23,44,0,0,1,1,29,31
NEW KGN STEEL ENTERPRISES,0,0,0,0,2,0,0,3,15,20,38
NEW KISAN ENGINEERING WORKS,0,0,0,0,1,31,30,52,79,77,269
NEW KRISHNA ENGINEERING WORKS,330,418,132,0,0,0,0,0,1,16,17
NEW MALLIKARJUNA ENG WORKS,6,16,14,16,1,173,318,187,87,109,874
NEW MANISH AUTO GARAGE,10,25,52,91,156,0,0,0,0,1,1
NEW MANJUNATHA WELDING WORKS,2,0,0,0,0,0,0,2,2,7,11
NEW MARTHWADA QUALITY TRAILOR,2,37,64,173,74,12,18,44,2,1,77
NEW METAL  INDIA,0,0,0,1,0,0,0,0,0,12,12
NEW MILAN ENG.WORKS,26,38,87,8,0,0,0,29,126,128,283
NEW MYSORE ENG. WORKS,0,0,0,1,1,0,0,2,3,14,19
NEW PRAVEEN TRAILERS,1,4,5,1,3,0,0,0,2,26,28
NEW RADIUM AGRO ENGG WORKS,"1,396","3,419","4,770","3,733","1,877",0,0,9,4,13,26
NEW RAJASTHAN ENG WORKS,0,0,12,145,74,0,0,0,1,0,1
NEW R.B.ENGG WORKS,15,17,0,0,0,0,0,6,19,22,47
NEW SALVERAJ,0,40,55,43,58,0,0,0,0,10,10
NEW SANGMESHWAR TRAILORS & ENGINEERING WORKS,0,15,19,23,302,5,6,0,0,0,11
NEW SANJAY AGRO INDUSTRIES LTD,"1,295","1,676","2,121","1,222",481,0,0,0,1,1,2
NEW SHAH INDUS AND WORKSHOP,1,0,0,0,0,0,0,0,2,4,6
NEW SHAMA ENG WORKS,1,0,12,24,17,0,0,1,1,29,31
NEW SHRI SAI AGRO INDUSTRIES,0,0,0,1,38,0,0,1,0,0,1
NEW SUPER QUALITY TRAILOR,24,8,0,0,0,100,92,49,40,24,305
NEW SUPER STAR AGRO IND.,0,0,0,0,1,0,0,0,0,16,16
NEW SUPREME TRAILER,9,0,0,0,0,0,0,0,0,4,4
NEW TEJAS ENGINEERING WORKS,0,0,7,5,8,0,0,0,14,24,38
NEW TRIMURTY INDUSTRIES,1,0,0,0,0,0,0,0,0,27,27
NEW VARINDERA,3,0,0,0,0,0,0,0,0,2,2
NEW VIKAS AGRICULTURE,1,0,0,0,0,3,1,0,0,1,5
NEW VISATKRUPA EQUIP WO,1,0,0,0,0,0,0,0,0,2,2
NEW VISHWAKARMA INDUSTT.,0,0,3,5,8,0,0,0,3,5,8
NEXZU MOBILITY PVT LTD,1,0,0,0,0,96,370,1,0,0,467
NGAGE WHEEL PVT LTD,2,0,0,0,0,21,38,0,0,0,59
NHD MOTORS,0,1,0,0,0,179,161,128,0,0,468
NHTPIL,0,0,0,1,2,0,0,0,1,2,3
NIBE MOTORS PVT LTD,0,0,0,1,5,4,15,0,0,0,19
NICOLAS INDUSTRIES,0,0,0,5,6,0,1,0,1,6,8
NIC TEST ACCOUNT-1,1,0,0,0,0,0,61,"5,207","65,407","45,117","1,15,792"
NIKHIL AGRO ENTERPRISE,6,0,0,0,0,6,15,19,18,28,86
NIKHIL FURNITURES,13,4,0,0,0,7,31,205,76,1,320
NIKI ENGINEERING WORK,3,0,0,0,0,0,0,0,2,9,11
NILAKANTH IND,0,2,0,0,0,0,0,0,0,2,2
NILKAN T ENGG. WORKS,2,0,0,0,0,0,0,0,1,20,21
NILKANTH AGRICULTURE,0,0,0,0,8,0,0,0,0,10,10
NILKANTH AGRO INDUSTRIES,9,0,0,0,0,0,0,0,0,28,28
NILKANTH TRAILER,5,95,134,121,128,0,0,0,0,31,31
NIPUN SANYANTRA PVT LTD,0,1,0,0,0,11,17,1,0,0,29
NIRMA  ENTERPRISES,0,2,0,0,0,0,0,0,9,0,9
NIRMAI AGRO IND,1,0,0,0,0,0,0,0,0,5,5
NIRMAL AGRO INDUSTRIES,0,0,0,0,7,0,0,51,63,64,178
NIRMAL BROTHER,61,18,0,0,0,1,1,0,1,2,5
NIRMAL ENG. WORK,1,0,0,0,0,0,0,0,1,1,2
NIRMAL MECHANICAL WORKS,2,0,0,0,0,1,3,0,0,2,6
NIRMAL UTILITY SERVICES PVT LTD,7,0,0,0,0,48,158,131,2,0,339
NISHA STEEL  INDUSTRIES,5,9,0,0,0,0,0,7,2,9,18
NISHA TRAILOR WORKS,3,0,0,0,0,0,0,0,3,14,17
NISHA WORKSHOP,8,0,0,0,0,0,0,1,1,4,6
NISIKI TECHNOLOGIES PVT LTD,1,0,0,0,0,1,0,0,0,0,1
NISSAN ENGINEERNG FABRICATORS,0,1,0,0,0,0,0,0,0,1,1
NISSAN MOTOR INDIA PVT LTD,0,1,0,3,1,"13,439","26,736","35,671","39,137","34,711","1,49,694"
NISUKI MOPEDS,8,3,24,60,77,0,0,0,0,1,1
N K INDUSTRIES,0,0,0,5,4,67,0,0,2,8,77
NK INDUSTRIES,3,0,0,0,0,78,77,69,8,3,235
NOORAIN AGRO INDUSTRIES,9,0,0,0,0,0,0,35,31,38,104
NORTH AGRO INDUSTRIES,1,1,0,0,0,0,0,0,2,1,3
NORTHERN ENGG.WORKS,1,0,0,0,0,0,0,0,0,2,2
NORTON,1,0,0,0,0,0,1,2,0,0,3
NOV HYDRA RIG,4,0,0,0,0,1,1,0,5,3,10
NPS INDUSTRIES,1,0,0,0,0,0,0,24,23,28,75
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,18,0,0,0,0,295,468,102,0,0,865
N S AGRO WORKS,2,0,0,0,0,4,0,0,0,0,4
N.S. AGRO WORKS,0,3,2,6,3,21,14,4,15,11,65
N.S.G. AGRO INDS. LTD.,6,2,15,11,6,0,0,0,1,1,2
N S G AGRO INDUSTRIES,834,"1,650","2,248","1,748",603,0,3,2,0,2,7
N S GIRIMAJI AND SONS,0,0,0,0,3,0,0,3,6,8,17
NUTAN AGRO INDUSTRIES,932,985,767,340,0,0,0,2,3,5,10
NYAMAGOUD AGRO INDUSTRIES,0,0,0,1,6,0,0,2,3,7,12
OBEN ELECTRIC VEHICLES PVT LTD,42,53,6,11,61,0,1,0,0,0,1
ODYSSE ELECTRIC VEHICLES PVT LTD,2,1,0,2,0,4,0,0,0,0,4
OGATA MOTORS INDIA PVT LTD,2,0,0,24,24,207,87,0,0,0,294
OIL FIELD WAREHOUSE AND SERVICE LIMITED,3,3,3,5,7,0,1,4,8,1,14
"OJHA METALS, BALASORE",122,162,143,130,255,0,2,21,17,100,140
OKA MOTOR COMPANY LTD.,0,0,3,8,17,0,0,5,48,5,58
OKINAWA AUTOTECH PVT LTD,561,"1,624","2,077","2,217",434,"5,758","11,853","8,468",331,1,"26,411"
OK PLAY INDIA LTD,0,2,0,0,0,65,143,470,339,9,"1,026"
OLECTRA GREENTECH LTD,90,416,572,224,90,55,151,28,5,0,239
OLYMPUS INDUSTRIES PVT LTD,62,89,0,0,0,5,51,4,0,0,60
OM AGREE CO,4,0,0,0,0,0,0,0,36,2,38
OMAX ENERGY PVT. LTD.,3,9,14,19,23,1,4,20,37,18,80
OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,317,141,0,0,0,732,"1,643","1,703","1,080",389,"5,547"
OM BALAJI AUTOMOBILES I P LTD,45,22,0,0,0,56,88,150,244,340,878
OMEGA CONST. EQUIPT. PVT. LTD.,6,34,78,39,50,0,0,0,7,15,22
OMEGA CONSTRUCTION EQUIPMENT PVT LTD,44,0,0,0,0,1,4,4,1,0,10
OMEGA SALES & AGRO INDUSTRIES,0,0,5,4,2,3,0,0,0,0,3
OMEGA SEIKI PVT LTD,4,0,0,0,0,0,0,0,0,1,1
OM GANESH AGRO,7,0,0,0,0,0,0,7,20,85,112
OM INDUSTRIES,20,35,35,51,35,2,24,41,0,60,127
OM. INDUSTRIES,3,42,16,15,15,3,5,0,0,0,8
OM JAI SANTOSHIMA,365,417,175,11,0,0,0,0,10,23,33
OMKAR ENGINEERING,0,0,0,4,10,0,0,0,9,20,29
OMKAR  INDUSTRIES,0,0,0,1,0,1,1,2,2,5,11
OMKAR TRAILER,1,5,6,10,0,0,0,0,3,1,4
OMKAR WELDING WORKS,0,0,4,5,0,0,0,0,0,1,1
OM MAHALAKSHIMI ENG. WORKS,3,1,0,0,0,0,0,0,1,0,1
OM PACKAGING,1,1,0,0,0,13,29,5,0,0,47
OM RAJ AUTOTECH LLP,88,261,286,77,79,345,388,27,0,0,760
OM SAI AGRO INDUSTRIES,193,231,11,0,0,0,0,4,6,3,13
OM SAKTHI TRAILER,3,42,36,0,0,0,0,5,33,25,63
OM SARAVANA ENGG INDUSTRIES,0,6,1,0,0,0,0,0,3,3,6
OM SHREE SAI ENGINEERING,0,0,0,0,1,0,0,0,0,2,2
"OM TRAILORES,LATUR",2,18,47,32,19,8,5,0,0,0,13
OMVEER INDUSTRIES,7,6,0,0,0,0,0,1,0,0,1
"OM VINAYAK INDUSTRIES,BGH",371,438,0,0,0,20,55,48,66,44,233
ONKAR TRAILER,10,1,0,0,0,0,0,0,0,1,1
OPEL,0,0,0,1,0,0,0,0,23,2,25
ORACLE AUTO(P) LTD.,0,0,0,0,1,0,0,0,0,2,2
ORDINANCE FACTORY,22,189,377,250,22,74,8,3,5,6,96
ORIGINAL FUEL SYSTEM PVT LTD,80,28,2,0,0,0,0,23,16,0,39
